Institution_Symbol	Item_Holding_Location	Item_Permanent_Shelving_Location	Item_Temporary_Shelving_Location	Item_Type	Item_Call_Number	Item_Enumeration_and_Chronology	Author_Name	Title	LHR_Item_Materials_Specified	Material_Format	OCLC_Number	Title_ISBN	Publication_Date	Item_Barcode	LHR_Item_Cost	LHR_Item_Nonpublic_Note	LHR_Item_Public_Note	Item_Status_Current_Status	Item_Due_Date	Item_Issued_Count	Issued_Count_YTD	Item_Soft_Issued_Count	Item_Soft_Issued_Count_YTD	Item_Last_Issued_Date	Item_Last_Inventoried_Date	Item_Deleted_Date	LHR_Date_Entered_on_File	LHR_Item_Acquired_Date	Language_Code	LHR_Item_Call_Number_Normalized
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Hamington, Maurice	Care ethics and poetry		otr	0			PLEB-1249				ON_LOAN	2026-07-23	1	1	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Domingues, Petrônio	Uma história não contada : negro, racismo e branqueamento em São Paulo no pós-abolição		otr	0			PLEB-1252				AVAILABLE		1	1	0	0	2026-03-05					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Barcia, María	Oficios de mujer : parteras, nodrizas y "amigas" : servicios públicos en espacios privados (siglo XVII-siglo XIX)   María del Carmen Barcia Zequeira.		otr	0			PLEB-1269				AVAILABLE		1	1	0	0	2026-03-30					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Levins Morales, Aurora	Medicine stories : essays for radicals		otr	0			PLEB-1283				AVAILABLE		1	1	0	0	2026-04-03					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Nanteuil, Luc	Jacques-Louis David		otr	0			PLEB-1288				ON_LOAN	2026-08-12	1	1	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Mojola, Sanyu	Death by Design Producing Racial Health Inequality in the Shadow of the Capitol.		otr	0			PLEB-1289				AVAILABLE		1	1	0	0	2026-04-10					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Paley, Dawn	Drug war capitalism		otr	0			PLEB-1293				AVAILABLE		1	1	0	0	2026-03-31					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Watson, Tara	The border within : the economics of immigration in an age of fear		otr	0			PLEB-1294				AVAILABLE		1	1	0	0	2026-04-01					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Menjívar, Cecilia	The Oxford handbook of migration crises		otr	0			PLEB-1303				ON_LOAN	2026-07-28	1	1	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Gilmore, Peter	Irish Presbyterians and the shaping of western Pennsylvania, 1770-1830		otr	0			PLEB-1314				AVAILABLE		1	1	0	0	2026-04-16					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Nhất Hạnh,	Silence : the power of quiet in a world full of noise		otr	0			PLEB-1315				AVAILABLE		1	1	0	0	2026-04-10					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Cherry, John	The Holy Thorn reliquary		otr	0			PLEB-1318				AVAILABLE		1	1	0	0	2026-04-13					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Muybridge, Eadweard	Eadweard Muybridge : the Stanford years, 1872-1882.		otr	0			PLEB-1322				ON_LOAN	2026-08-12	1	1	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Mozley, Anita	Mrs. Cameron's photographs from the life." 22 January-10 March 1974.		otr	0			PLEB-1323				ON_LOAN	2026-08-12	1	1	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Blight, David	Race and reunion : the Civil War in American memory		otr	0			PLEB-1325				AVAILABLE		1	1	0	0	2026-04-21					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Connors, Michael	Caribbean houses : history, style, and architecture		otr	0			PLEB-1333				AVAILABLE		1	1	0	0	2026-04-28					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Connors, Michael	British West Indies style : Antigua, Jamaica, Barbados, and beyond		otr	0			PLEB-1334				AVAILABLE		1	1	0	0	2026-04-28					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Tavares, Rodrigo	A "Moscouzinha" brasileira : cenários e personagens do cotidiano operário de Santos (1930-1954)		otr	0			PLEB-1337				AVAILABLE		1	1	0	0	2026-04-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Mitchell, Roger	Death in custody : how America ignores the truth and what we can do about it		otr	0			PLEB-1338				AVAILABLE		1	1	0	0	2026-04-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Han, Byung-Chul	Hyperculture : culture and globalization		otr	0			PLEB-1342				AVAILABLE		1	1	0	0	2026-04-28					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Ray Harlow	Māori: A linguistic introduction		otr	0			PLEB-1344				ON_LOAN	2026-08-22	1	1	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Hecker, Alexandre	Socialismo sociável : história da esquerda democrática em São Paulo, 1945-1965		otr	0			PLEB-1350				AVAILABLE		1	1	0	0	2026-04-30					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			marshall	The Structure and Performance of Euripides' Helen		otr	0			PLEB-1355				ON_LOAN	2026-08-27	1	1	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Hornschuch, Hieronymus	Hornschuch's Orthotypographia		otr	0			PLEB-1363				ON_LOAN	2026-09-03	1	1	0	0						otr	
